Trial: 2 estimated 19, Trial: 2 actual 19, 
3.62396e-05, 0.502319, 
0.000688104, 3.05176e-05, 
0.012913, 0.000457764, 
0.194168, 0.00738525, 
0.075741, 0.12085, 
0.348635, 0.224396, 
0.00295096, 0.0462341, 
0.0531636, 0.37149, 
0.377848, 0.00192261, 
0.00140026, 0.0357056, 
0.0259423, 0.325592, 
0.307105, 0.00445557, 
0.00790783, 0.0783997, 
0.130241, 0.332275, 
0.200763, 0.00387573, 
0.067546, 0.066864, 
0.364457, 0.357086, 
0.00198155, 0.0027771, 
0.0363289, 0.0492859, 
0.354589, 0.353882, 
0.00254411, 0.00256348, 
0.0461717, 0.0466309, 
0.374622, 0.354614, 
0.00152376, 0.00305176, 
0.0281675, 0.0550537, 
0.319998, 0.360535, 
0.00587603, 0.00231934, 
0.100408, 0.0419312, 
0.284016, 0.3508, 
0.0131933, 0.00259399, 
0.197371, 0.0454712, 
0.0716643, 0.350861, 
0.357065, 0.0027771, 
0.0023906, 0.0477905, 
0.043506, 0.356445, 
0.371179, 0.00259399, 
0.00166657, 0.046051, 
0.0307283, 0.352325, 
0.332899, 0.00268555, 
0.0043303, 0.0464478, 
0.0760934, 0.347504, 
0.347861, 0.0027771, 
0.00300803, 0.0494995, 
0.054136, 0.353149, 
0.377708, 0.00238037, 
0.00140541, 0.0426025, 
0.0260354, 0.343842, 
0.307677, 0.00314331, 
0.00780563, 0.0574951, 
0.128796, 0.35791, 
0.204556, 0.00210571, 
0.0631743, 0.0376282, 
0.370811, 0.340363, 
0.00168255, 0.00292969, 
0.031014, 0.0531616, 
0.334216, 0.360687, 
0.00419552, 0.00222778, 
0.0739048, 0.0424805, 
0.352556, 0.346954, 
0.00267686, 0.00265503, 
0.0484647, 0.0481262, 
0.376554, 0.356659, 
0.00144864, 0.00256348, 
0.0268151, 0.0476074, 
0.312356, 0.358185, 
0.00701374, 0.00247192, 
0.117404, 0.0440674, 
0.235588, 0.350281, 
0.0355467, 0.00244141, 
0.352058, 0.0443726, 
0.00271028, 0.349182, 
0.0490401, 0.00247192, 
0.376899, 0.0455627, 
0.0014356, 0.348663, 
0.0265801, 0.00335693, 
0.310967, 0.0589294, 
0.0072408, 0.360748, 
0.120707, 0.00274658, 
0.226409, 0.0484619, 
0.0423501, 0.362091, 
0.369258, 0.00253296, 
0.00175152, 0.045929, 
0.0322452, 0.35199, 
0.339621, 0.0020752, 
0.00368149, 0.038269, 
0.0654554, 0.328705, 
0.367705, 0.00408936, 
0.00182308, 0.0725708, 
0.0335194, 0.345337, 
0.344767, 0.00344849, 
0.00324637, 0.0588379, 
0.0581745, 0.358398, 
0.375798, 0.00250244, 
0.00147762, 0.0454102, 
0.0273374, 0.352417, 
0.315377, 0.00219727, 
0.00654192, 0.0410156, 
0.110446, 0.344574, 
0.255273, 0.00326538, 
0.0240829, 0.0585327, 
0.29505, 0.360931, 
0.0103634, 0.0020752, 
0.163237, 0.0382385, 
0.125435, 0.340576, 
