Trial: 1 estimated 7, Trial: 1 actual 7, 
0.0546875, 0.494751, 
0.273173, 0.0598755, 
0.281917, 0.271545, 
0.270562, 0.276917, 
0.285295, 0.27417, 
0.266166, 0.284485, 
0.290963, 0.268005, 
0.258791, 0.280273, 
0.300394, 0.273315, 
0.246553, 0.278748, 
0.315736, 0.270508, 
0.226863, 0.281189, 
0.339156, 0.273926, 
0.197738, 0.281372, 
0.36905, 0.264893, 
0.162987, 0.290771, 
0.392324, 0.253113, 
0.138286, 0.308289, 
0.396328, 0.23584, 
0.134264, 0.321777, 
0.395704, 0.216309, 
0.134886, 0.346436, 
0.395827, 0.187683, 
0.134764, 0.363037, 
0.395803, 0.167236, 
0.134787, 0.375549, 
0.395808, 0.156189, 
0.134782, 0.379333, 
0.395807, 0.152283, 
0.134783, 0.379211, 
0.395807, 0.151062, 
0.134783, 0.381409, 
0.395807, 0.149292, 
0.134783, 0.387146, 
0.395807, 0.140686, 
0.134783, 0.380249, 
0.395807, 0.147278, 
0.134783, 0.378601, 
0.395807, 0.153931, 
0.134783, 0.382446, 
0.395807, 0.145508, 
0.134783, 0.383606, 
0.395807, 0.144592, 
0.134783, 0.386963, 
0.395807, 0.142395, 
0.134783, 0.377014, 
0.395807, 0.152832, 
0.134783, 0.385498, 
0.395807, 0.141907, 
0.134783, 0.383789, 
0.395807, 0.149353, 
0.134783, 0.378906, 
0.395807, 0.148499, 
0.134783, 0.380249, 
0.395807, 0.153137, 
0.134783, 0.385315, 
0.395807, 0.140503, 
0.134783, 0.382385, 
0.395807, 0.146423, 
0.134783, 0.381775, 
0.395807, 0.149353, 
0.134783, 0.384277, 
0.395807, 0.145935, 
0.134783, 0.374817, 
0.395807, 0.156494, 
0.134783, 0.380188, 
0.395807, 0.153687, 
0.134783, 0.384583, 
0.395807, 0.141235, 
0.134783, 0.382019, 
0.395807, 0.153564, 
0.134783, 0.382812, 
0.395807, 0.149475, 
0.134783, 0.384399, 
0.395807, 0.148682, 
0.134783, 0.382446, 
0.395807, 0.146606, 
0.134783, 0.386108, 
0.395807, 0.144165, 
0.134783, 0.381104, 
0.395807, 0.15448, 
0.134783, 0.379272, 
0.395807, 0.15448, 
0.134783, 0.379639, 
0.395807, 0.151367, 
0.134783, 0.379639, 
0.395807, 0.151001, 
0.134783, 0.382141, 
0.395807, 0.150208, 
0.134783, 0.383911, 
0.395807, 0.142273, 
0.134783, 0.385193, 
0.395807, 0.144897, 
0.134783, 0.38147, 
0.395807, 0.151306, 
0.134783, 0.385498, 
0.395807, 0.146118, 
0.134783, 0.385803, 
0.395807, 0.14032, 
0.134783, 0.38147, 
0.395807, 0.149536, 
0.134783, 0.384338, 
0.395807, 0.145142, 
0.134783, 0.385986, 
0.395807, 0.152344, 
0.134783, 0.381836, 
0.395807, 0.153809, 
0.134783, 0.37561, 
0.395807, 0.155945, 
0.134783, 0.378967, 
0.395807, 0.149963, 
0.134783, 0.382568, 
0.395807, 0.147705, 
0.134783, 0.381714, 
0.395807, 0.151489, 
0.134783, 0.381653, 
0.395807, 0.149353, 
0.134783, 0.384888, 
0.395807, 0.143616, 
0.134783, 0.380798, 
0.395807, 0.150818, 
0.134783, 0.380127, 
0.395807, 0.149902, 
0.134783, 0.391541, 
0.395807, 0.140686, 
0.134783, 0.385437, 
0.395807, 0.143799, 
0.134783, 0.380798, 
0.395807, 0.151489, 
0.134783, 0.380981, 
0.395807, 0.15033, 
0.134783, 0.387634, 
0.395807, 0.136597, 
0.134783, 0.383545, 
0.395807, 0.150024, 
0.134783, 0.383179, 
0.395807, 0.146912, 
0.134783, 0.379028, 
0.395807, 0.152222, 
0.134783, 0.380676, 
0.395807, 0.145569, 
0.134783, 0.377197, 
0.395807, 0.155212, 
0.134783, 0.379028, 
0.395807, 0.149536, 
0.134783, 0.381592, 
0.395807, 0.150085, 
0.134783, 0.381592, 
0.395807, 0.150085, 
0.134783, 0.388, 
0.395807, 0.140015, 
0.134783, 0.382385, 
0.395807, 0.14978, 
0.134783, 0.384888, 
0.395807, 0.14624, 
0.134783, 0.382812, 
0.395807, 0.14856, 
0.134783, 0.381226, 
0.395807, 0.147949, 
0.134783, 0.378418, 
0.395807, 0.152527, 
0.134783, 0.381958, 
0.395807, 0.153809, 
0.134783, 0.378052, 
0.395807, 0.149292, 
0.134783, 0.377197, 
0.395807, 0.155701, 
0.134783, 0.382324, 
0.395807, 0.146729, 
0.134783, 0.382874, 
0.395807, 0.144653, 
0.134783, 0.382996, 
0.395807, 0.148315, 
0.134783, 0.383423, 
0.395807, 0.151367, 
0.134783, 0.375, 
0.395807, 0.15155, 
0.134783, 0.382874, 
0.395807, 0.146179, 
0.134783, 0.380249, 
0.395807, 0.151428, 
0.134783, 0.377808, 
0.395807, 0.153992, 
0.134783, 0.383972, 
0.395807, 0.15155, 
0.134783, 0.379272, 
0.395807, 0.148376, 
0.134783, 0.383911, 
0.395807, 0.147156, 
0.134783, 0.377991, 
0.395807, 0.154114, 
0.134783, 0.385376, 
0.395807, 0.142395, 
0.134783, 0.381104, 
0.395807, 0.147339, 
0.134783, 0.386475, 
0.395807, 0.142944, 
0.134783, 0.381348, 
0.395807, 0.149231, 
0.134783, 0.378601, 
0.395807, 0.151123, 
0.134783, 0.379761, 
0.395807, 0.152405, 
