Trial: 1 estimated 5, Trial: 1 actual 5, 
0.15625, 0.501495, 
0.395954, 0.154663, 
0.263569, 0.36557, 
0.387608, 0.297546, 
0.272572, 0.348724, 
0.381603, 0.308807, 
0.279031, 0.342682, 
0.376955, 0.313446, 
0.284013, 0.337402, 
0.373189, 0.320557, 
0.288035, 0.329834, 
0.370041, 0.323792, 
0.291386, 0.330505, 
0.367348, 0.331207, 
0.294244, 0.326874, 
0.365003, 0.323975, 
0.296725, 0.333618, 
0.362932, 0.322418, 
0.298909, 0.33078, 
0.361083, 0.326599, 
0.300853, 0.327423, 
0.359416, 0.329865, 
0.302601, 0.328094, 
0.357903, 0.32663, 
0.304185, 0.32785, 
0.356519, 0.327789, 
0.30563, 0.329071, 
0.355247, 0.323395, 
0.306955, 0.326904, 
0.354071, 0.328033, 
0.308176, 0.326599, 
0.352981, 0.330933, 
0.309307, 0.324493, 
0.351965, 0.327148, 
0.310358, 0.325897, 
0.351017, 0.328033, 
0.311338, 0.323608, 
0.350128, 0.335907, 
0.312254, 0.32309, 
0.349293, 0.327209, 
0.313113, 0.327942, 
0.348508, 0.327942, 
0.313921, 0.328278, 
0.347766, 0.325287, 
0.314681, 0.332611, 
0.347066, 0.323944, 
0.315399, 0.332367, 
0.346402, 0.322571, 
0.316077, 0.330719, 
0.345774, 0.324677, 
0.316719, 0.327026, 
0.345177, 0.327576, 
0.317328, 0.327332, 
0.344609, 0.327972, 
0.317905, 0.331116, 
0.34407, 0.319458, 
0.318454, 0.334534, 
0.343556, 0.32431, 
0.318977, 0.329376, 
0.343065, 0.324524, 
0.319474, 0.331573, 
0.342598, 0.323029, 
0.319948, 0.32962, 
0.342151, 0.322266, 
0.3204, 0.327179, 
0.341724, 0.326721, 
0.320832, 0.323944, 
0.341316, 0.3349, 
0.321244, 0.319214, 
0.340926, 0.334229, 
0.321638, 0.321655, 
0.340552, 0.331482, 
0.322014, 0.322815, 
0.340194, 0.33255, 
