Trial: 1 estimated 15, Trial: 1 actual 15, 
0.000457764, 0.497925, 
0.00682258, 0.000427246, 
0.0929856, 0.00598145, 
0.355718, 0.0701294, 
0.0113309, 0.382568, 
0.1449, 0.00762939, 
0.242883, 0.10144, 
0.0740921, 0.331299, 
0.378279, 0.0202637, 
0.00731545, 0.227661, 
0.0990125, 0.0950317, 
0.34502, 0.345459, 
0.0138398, 0.0143433, 
0.170799, 0.17334, 
0.186129, 0.185364, 
0.156201, 0.16095, 
0.21733, 0.212891, 
0.105514, 0.11322, 
0.332223, 0.318237, 
0.0174727, 0.0234985, 
0.204774, 0.245911, 
0.124232, 0.076416, 
0.29092, 0.371826, 
0.0354487, 0.00909424, 
0.320809, 0.119324, 
0.0213909, 0.289062, 
0.237055, 0.0394897, 
0.0805092, 0.337952, 
0.372907, 0.0164185, 
0.0081347, 0.196411, 
0.108835, 0.142822, 
0.325291, 0.251343, 
0.0197694, 0.0678711, 
0.224223, 0.379395, 
0.0961805, 0.00775146, 
0.350205, 0.102783, 
0.0125685, 0.317993, 
0.157933, 0.0232544, 
0.21351, 0.250305, 
0.110973, 0.0673218, 
0.320715, 0.375366, 
0.0214259, 0.00823975, 
0.237325, 0.110901, 
0.0802029, 0.315125, 
0.373224, 0.0264893, 
0.0080841, 0.269836, 
0.108236, 0.0512695, 
0.32656, 0.357544, 
0.0193304, 0.010437, 
0.220623, 0.137085, 
0.100974, 0.261902, 
0.341281, 0.057373, 
0.0148253, 0.369995, 
0.180418, 0.00811768, 
0.166979, 0.108093, 
0.194059, 0.317627, 
0.141993, 0.0239258, 
0.249591, 0.254517, 
0.0672195, 0.0687866, 
0.380626, 0.374329, 
0.00698116, 0.00775146, 
0.0949344, 0.104004, 
0.3524, 0.328247, 
0.0120621, 0.0203857, 
0.152662, 0.234314, 
0.225225, 0.0906982, 
0.094878, 0.364014, 
0.352498, 0.0106201, 
0.0120399, 0.13562, 
0.152429, 0.255615, 
0.225748, 0.0665283, 
0.0942032, 0.377075, 
0.353662, 0.00750732, 
0.0117793, 0.0985107, 
0.149681, 0.3349, 
0.231956, 0.017334, 
0.0864772, 0.203552, 
0.365649, 0.12854, 
0.00937068, 0.282593, 
0.123202, 0.0427246, 
0.293293, 0.339355, 
0.0340992, 0.0166016, 
0.314696, 0.195007, 
0.0237876, 0.14563, 
0.254719, 0.246643, 
0.0623205, 0.0695801, 
0.379738, 0.382751, 
0.00710604, 0.00646973, 
0.0964626, 0.0870361, 
0.3497, 0.348389, 
0.0126875, 0.0118408, 
0.159159, 0.148865, 
