Trial: 1 estimated 13, Trial: 1 actual 13, 
0.00158691, 0.503601, 
0.0202404, 0.00164795, 
0.205872, 0.0203857, 
0.168355, 0.179199, 
0.239566, 0.219604, 
0.116442, 0.147156, 
0.342669, 0.285217, 
0.0289888, 0.0705566, 
0.264767, 0.37207, 
0.0858825, 0.0168457, 
0.380078, 0.172363, 
0.0159171, 0.239502, 
0.170682, 0.118469, 
0.234847, 0.334961, 
0.122944, 0.0335693, 
0.331115, 0.288879, 
0.0345256, 0.0671387, 
0.294425, 0.376892, 
0.0582692, 0.0183105, 
0.368556, 0.188416, 
0.0192515, 0.199768, 
0.198198, 0.188416, 
0.181907, 0.198425, 
0.212533, 0.181152, 
0.157093, 0.214844, 
0.262697, 0.15686, 
0.0881352, 0.26239, 
0.378668, 0.093689, 
0.0162963, 0.370361, 
0.173942, 0.0178223, 
0.228284, 0.182617, 
0.132407, 0.216858, 
0.313074, 0.154846, 
0.0449274, 0.267822, 
0.336427, 0.0864258, 
0.0318784, 0.371948, 
0.28093, 0.0186157, 
0.0697899, 0.18689, 
0.38081, 0.207458, 
0.0157231, 0.166443, 
0.169001, 0.248657, 
0.238254, 0.108887, 
0.118224, 0.354492, 
0.339584, 0.0245361, 
0.0303879, 0.23584, 
0.272785, 0.128662, 
0.0775745, 0.32019, 
0.382682, 0.039917, 
0.0152366, 0.312622, 
0.164746, 0.0458374, 
0.246934, 0.332092, 
0.106788, 0.0349121, 
0.358031, 0.289795, 
0.0228051, 0.0657349, 
0.224776, 0.369324, 
0.137664, 0.020752, 
0.302609, 0.202393, 
0.0520645, 0.179016, 
0.356312, 0.22052, 
0.0234357, 0.1474, 
0.229209, 0.28302, 
0.131043, 0.0727539, 
0.315745, 0.377625, 
0.0432409, 0.0169067, 
0.330727, 0.174438, 
0.034726, 0.229675, 
0.295397, 0.133911, 
0.0575023, 0.309692, 
0.367276, 0.0510864, 
0.0196567, 0.351013, 
0.201369, 0.0252686, 
0.176235, 0.234253, 
0.223706, 0.131958, 
0.139296, 0.31134, 
0.299315, 0.0457764, 
0.0544935, 0.331726, 
0.361628, 0.0343628, 
0.0215323, 0.284119, 
0.215572, 0.0714722, 
0.152116, 0.373352, 
0.272995, 0.0158691, 
0.077365, 0.167969, 
0.38269, 0.237, 
0.0152346, 0.121826, 
0.164728, 0.335449, 
0.246971, 0.0310059, 
0.106741, 0.271851, 
0.358099, 0.0828247, 
0.0227804, 0.37085, 
0.224601, 0.0203857, 
0.13793, 0.203613, 
0.302073, 0.175049, 
0.0524539, 0.230103, 
0.357212, 0.132996, 
0.0231039, 0.311279, 
0.226887, 0.0470581, 
0.134483, 0.337708, 
0.30897, 0.0350952, 
0.0476234, 0.30249, 
0.344721, 0.0579224, 
0.0280881, 0.358337, 
0.259411, 0.0231323, 
0.091803, 0.220886, 
0.375804, 0.150574, 
0.0170907, 0.280396, 
0.180661, 0.0741577, 
0.214967, 0.376221, 
0.153098, 0.017334, 
0.270963, 0.178467, 
0.079405, 0.218933, 
0.382485, 0.152527, 
0.0152872, 0.277222, 
0.165191, 0.0772705, 
0.246023, 0.372192, 
0.107948, 0.0179443, 
0.35632, 0.184082, 
0.0234328, 0.211975, 
0.229189, 0.162964, 
0.131073, 0.252563, 
0.315686, 0.100708, 
0.0432774, 0.353943, 
0.330854, 0.026001, 
0.0346599, 0.241333, 
0.295077, 0.117737, 
0.0577537, 0.335876, 
0.367702, 0.0319824, 
0.0195208, 0.27655, 
0.20031, 0.0797119, 
0.178118, 0.37854, 
0.219971, 0.0165405, 
0.145089, 0.178467, 
0.287493, 0.219238, 
0.0639795, 0.148376, 
0.376191, 0.287659, 
0.0169813, 0.0657959, 
0.179744, 0.369019, 
0.216765, 0.0189819, 
0.150189, 0.188354, 
0.276981, 0.205383, 
0.0734838, 0.172424, 
0.382271, 0.235718, 
0.0153423, 0.129333, 
0.165676, 0.314148, 
0.245031, 0.0443726, 
0.109223, 0.336121, 
0.354394, 0.0308228, 
0.0241569, 0.273987, 
0.234177, 0.0820923, 
0.123888, 0.373657, 
0.329374, 0.0171509, 
0.0354324, 0.180969, 
0.298769, 0.213257, 
0.054905, 0.162231, 
0.362461, 0.248352, 
0.0212466, 0.109619, 
0.213458, 0.352966, 
0.155568, 0.0264282, 
0.265852, 0.245117, 
0.0847205, 0.114624, 
0.380695, 0.344604, 
0.0157536, 0.0273438, 
0.169265, 0.251465, 
0.237716, 0.105896, 
0.11896, 0.352722, 
0.338292, 0.0273438, 
0.0309907, 0.249878, 
0.276128, 0.10376, 
0.0743011, 0.356506, 
0.382451, 0.0222778, 
0.015296, 0.216614, 
0.165268, 0.152771, 
0.245864, 0.272095, 
0.108151, 0.0827026, 
0.356016, 0.371643, 
0.0235459, 0.0193481, 
0.229975, 0.194458, 
0.129922, 0.192322, 
0.317925, 0.200439, 
0.0419038, 0.184509, 
0.325916, 0.21167, 
0.037292, 0.160645, 
0.307252, 0.256226, 
0.0487915, 0.0978394, 
0.348014, 0.368103, 
0.0266933, 0.0198975, 
0.250808, 0.200134, 
0.101953, 0.178467, 
0.364697, 0.221558, 
0.020495, 0.145325, 
0.207812, 0.282715, 
0.165026, 0.0697632, 
0.246361, 0.376038, 
0.107517, 0.015625, 
0.35696, 0.170776, 
0.0231963, 0.235168, 
0.227536, 0.124695, 
0.133516, 0.321228, 
0.310888, 0.0404663, 
0.0463474, 0.317993, 
0.340919, 0.0431519, 
0.0297756, 0.325012, 
0.269321, 0.0369263, 
0.0810835, 0.296204, 
0.38211, 0.0600586, 
0.0153839, 0.363647, 
0.16604, 0.0200806, 
0.244286, 0.206604, 
0.110187, 0.16626, 
0.352906, 0.24292, 
0.0247292, 0.116333, 
0.238044, 0.343933, 
0.118512, 0.0306396, 
0.339081, 0.277344, 
0.0306216, 0.0777588, 
0.274089, 0.376526, 
0.0762844, 0.0172729, 
0.382682, 0.180969, 
0.0152365, 0.21814, 
0.164745, 0.151306, 
0.246936, 0.273132, 
0.106785, 0.0799561, 
0.358035, 0.375061, 
0.0228038, 0.019104, 
0.224766, 0.192749, 
0.137678, 0.19519, 
0.30258, 0.189697, 
0.0520852, 0.200623, 
0.35636, 0.181702, 
0.0234178, 0.215576, 
0.229084, 0.156128, 
0.131227, 0.267944, 
0.315387, 0.0842896, 
0.043464, 0.379272, 
0.331504, 0.0142822, 
0.0343256, 0.155334, 
0.293447, 0.268311, 
0.0590486, 0.0905762, 
0.369793, 0.365967, 
0.0188668, 0.0213623, 
0.195154, 0.208557, 
0.187446, 0.1651, 
0.201858, 0.24823, 
0.175368, 0.110657, 
0.225433, 0.354858, 
0.136668, 0.0248413, 
0.304609, 0.239929, 
0.050633, 0.122437, 
0.352847, 0.328735, 
0.0247522, 0.039978, 
0.238197, 0.308716, 
0.118302, 0.0509644, 
0.339449, 0.346863, 
0.0304506, 0.0267334, 
0.273136, 0.247375, 
0.0772255, 0.111267, 
0.382694, 0.346558, 
0.0152337, 0.0261841, 
0.16472, 0.245911, 
0.246987, 0.114319, 
0.10672, 0.339172, 
0.35813, 0.0321045, 
0.0227692, 0.283936, 
0.224521, 0.0686035, 
0.138051, 0.370178, 
0.301829, 0.0187378, 
0.0526317, 0.18927, 
0.357616, 0.198975, 
0.022956, 0.179138, 
0.225844, 0.221863, 
0.136048, 0.147217, 
0.305852, 0.287598, 
0.0497601, 0.0679932, 
0.350609, 0.375793, 
0.0256353, 0.0178833, 
0.244028, 0.187927, 
0.110522, 0.201294, 
0.352382, 0.179199, 
0.0249334, 0.222595, 
0.239407, 0.144287, 
0.116657, 0.280457, 
0.3423, 0.076355, 
0.0291529, 0.373474, 
0.265727, 0.0179443, 
0.0848537, 0.183044, 
0.380628, 0.208679, 
0.0157712, 0.169312, 
0.169419, 0.232239, 
0.237406, 0.13324, 
0.119387, 0.31012, 
0.337537, 0.050354, 
0.0313475, 0.344543, 
0.278075, 0.0291138, 
0.0724449, 0.264954, 
0.381969, 0.0897217, 
0.0154204, 0.371887, 
0.16636, 0.0194092, 
0.243632, 0.194519, 
0.11104, 0.196167, 
0.351569, 0.189941, 
0.0252534, 0.197449, 
0.241526, 0.18158, 
0.113814, 0.216919, 
0.347087, 0.153748, 
0.0270797, 0.266418, 
0.25323, 0.0862427, 
0.0990154, 0.379333, 
0.368345, 0.0149536, 
0.0193179, 0.163269, 
0.19872, 0.24884, 
0.180966, 0.109375, 
0.21437, 0.350037, 
0.154072, 0.0263062, 
0.268948, 0.248779, 
0.0814689, 0.10553, 
0.381998, 0.361084, 
0.0154127, 0.0236816, 
0.166293, 0.228577, 
0.243769, 0.134949, 
0.11086, 0.305298, 
0.351852, 0.0507202, 
0.0251415, 0.346436, 
0.240787, 0.0292969, 
0.114799, 0.258362, 
0.345449, 0.0952148, 
0.0277745, 0.365479, 
0.25751, 0.0195312, 
0.0939778, 0.203308, 
0.373796, 0.18219, 
0.0176672, 0.216003, 
0.185445, 0.154907, 
0.205686, 0.26593, 
0.168677, 0.0880127, 
0.238911, 0.372559, 
0.117329, 0.020813, 
0.341142, 0.207947, 
0.0296744, 0.170654, 
0.268742, 0.236511, 
0.0816823, 0.124207, 
0.381933, 0.328979, 
0.0154298, 0.0385132, 
0.166442, 0.314148, 
0.243464, 0.0478516, 
0.111258, 0.342163, 
0.351223, 0.0298462, 
0.0253906, 0.267517, 
0.242428, 0.0837402, 
0.112619, 0.371155, 
0.349041, 0.020752, 
0.0262701, 0.20752, 
0.248123, 0.167297, 
0.105286, 0.242859, 
0.360184, 0.112122, 
0.0220357, 0.352051, 
0.219253, 0.024353, 
0.146221, 0.235657, 
0.285166, 0.12561, 
0.0659941, 0.324158, 
0.378132, 0.039856, 
0.0164423, 0.311218, 
0.175188, 0.0494995, 
0.225792, 0.34668, 
0.136127, 0.0275879, 
0.305693, 0.253479, 
0.0498707, 0.101807, 
0.350898, 0.36145, 
0.0255198, 0.0209351, 
0.243275, 0.212158, 
0.111506, 0.163879, 
0.350829, 0.250366, 
0.0255476, 0.105103, 
0.243457, 0.360107, 
0.111268, 0.0218506, 
