Trial: 1 estimated 13, Trial: 1 actual 13, 
0.00158691, 0.50061, 
0.0202404, 0.00219727, 
0.205872, 0.0266113, 
0.168355, 0.21933, 
0.239566, 0.145996, 
0.116442, 0.287109, 
0.342669, 0.0671387, 
0.0289888, 0.369415, 
0.264767, 0.0181274, 
0.0858825, 0.190247, 
0.380078, 0.201263, 
0.0159171, 0.177185, 
0.170682, 0.223694, 
0.234847, 0.141449, 
0.122944, 0.293243, 
0.331115, 0.0621948, 
0.0345256, 0.367065, 
0.294425, 0.0188904, 
0.0582692, 0.196289, 
0.368556, 0.187653, 
0.0192515, 0.207397, 
0.198198, 0.167694, 
0.181907, 0.243896, 
0.212533, 0.113831, 
0.157093, 0.343903, 
0.262697, 0.0310059, 
0.0881352, 0.274414, 
0.378668, 0.0785828, 
0.0162963, 0.375549, 
0.173942, 0.0162964, 
0.228284, 0.174133, 
0.132407, 0.23291, 
0.313074, 0.131104, 
0.0449274, 0.314301, 
0.336427, 0.0450134, 
0.0318784, 0.326874, 
0.28093, 0.0378723, 
0.0697899, 0.307343, 
0.38081, 0.0504761, 
0.0157231, 0.348206, 
0.169001, 0.0267029, 
0.238254, 0.247498, 
0.118224, 0.109344, 
0.339584, 0.351379, 
0.0303879, 0.0249939, 
0.272785, 0.242584, 
0.0775745, 0.117279, 
0.382682, 0.33902, 
0.0152366, 0.0320435, 
0.164746, 0.277466, 
0.246934, 0.0770264, 
0.106788, 0.372345, 
0.358031, 0.0183716, 
0.0228051, 0.185364, 
0.224776, 0.212799, 
0.137664, 0.160797, 
0.302609, 0.254822, 
0.0520645, 0.102295, 
0.356312, 0.355164, 
0.0234357, 0.024292, 
0.229209, 0.232758, 
0.131043, 0.128204, 
0.315745, 0.321106, 
0.0432409, 0.0431519, 
0.330727, 0.328278, 
0.034726, 0.0362549, 
0.295397, 0.298462, 
0.0575023, 0.0560303, 
0.367276, 0.35788, 
0.0196567, 0.024231, 
0.201369, 0.232666, 
0.176235, 0.129944, 
0.223706, 0.320343, 
0.139296, 0.0423584, 
0.299315, 0.325409, 
0.0544935, 0.0378723, 
0.361628, 0.305389, 
0.0215323, 0.052002, 
0.215572, 0.347198, 
0.152116, 0.0274963, 
0.272995, 0.24823, 
0.077365, 0.10788, 
0.38269, 0.346954, 
0.0152346, 0.0283508, 
0.164728, 0.256378, 
0.246971, 0.102173, 
0.106741, 0.364105, 
0.358099, 0.0210571, 
0.0227804, 0.210632, 
0.224601, 0.16568, 
0.13793, 0.249084, 
0.302073, 0.10733, 
0.0524539, 0.351044, 
0.357212, 0.0256042, 
0.0231039, 0.23941, 
0.226887, 0.120178, 
0.134483, 0.334229, 
0.30897, 0.0342712, 
0.0476234, 0.29129, 
0.344721, 0.0637512, 
0.0280881, 0.371796, 
0.259411, 0.0180359, 
0.091803, 0.190765, 
0.375804, 0.195312, 
0.0170907, 0.189636, 
0.180661, 0.200104, 
0.214967, 0.179749, 
0.153098, 0.218628, 
0.270963, 0.14682, 
0.079405, 0.283905, 
0.382485, 0.0692444, 
0.0152872, 0.376953, 
0.165191, 0.016571, 
0.246023, 0.172363, 
0.107948, 0.230591, 
0.35632, 0.132812, 
0.0234328, 0.309479, 
0.229189, 0.0490723, 
0.131073, 0.344421, 
0.315686, 0.0281067, 
0.0432774, 0.256012, 
0.330854, 0.0992432, 
0.0346599, 0.360718, 
0.295077, 0.0228577, 
0.0577537, 0.221802, 
0.367702, 0.148163, 
0.0195208, 0.281189, 
0.20031, 0.0740051, 
0.178118, 0.382568, 
0.219971, 0.0151062, 
0.145089, 0.162567, 
0.287493, 0.257538, 
0.0639795, 0.0969238, 
0.376191, 0.364136, 
0.0169813, 0.0216675, 
0.179744, 0.21405, 
0.216765, 0.157349, 
0.150189, 0.265381, 
0.276981, 0.0861816, 
0.0734838, 0.37854, 
0.382271, 0.0169678, 
0.0153423, 0.176239, 
0.165676, 0.224762, 
0.245031, 0.14093, 
0.109223, 0.297394, 
0.354394, 0.0601807, 
0.0241569, 0.366302, 
0.234177, 0.0213013, 
0.123888, 0.211334, 
0.329374, 0.164398, 
0.0354324, 0.247864, 
0.298769, 0.109711, 
0.054905, 0.346985, 
0.362461, 0.0281677, 
0.0212466, 0.255798, 
0.213458, 0.101288, 
0.155568, 0.357513, 
0.265852, 0.0245972, 
0.0847205, 0.230835, 
0.380695, 0.134338, 
0.0157536, 0.306641, 
0.169265, 0.0523071, 
0.237716, 0.352142, 
0.11896, 0.0232849, 
0.338292, 0.228333, 
0.0309907, 0.136108, 
0.276128, 0.301453, 
0.0743011, 0.0535889, 
0.382451, 0.354462, 
0.015296, 0.0246582, 
0.165268, 0.235962, 
0.245864, 0.12381, 
0.108151, 0.328735, 
0.356016, 0.036377, 
0.0235459, 0.299622, 
0.229975, 0.0555115, 
0.129922, 0.360291, 
0.317925, 0.0236206, 
0.0419038, 0.223907, 
0.325916, 0.143219, 
0.037292, 0.297241, 
0.307252, 0.0594788, 
0.0487915, 0.364746, 
0.348014, 0.0214539, 
0.0266933, 0.212463, 
0.250808, 0.159912, 
0.101953, 0.255524, 
0.364697, 0.0999451, 
0.020495, 0.363556, 
0.207812, 0.0200195, 
0.165026, 0.205078, 
0.246361, 0.173706, 
0.107517, 0.230591, 
0.35696, 0.13028, 
0.0231963, 0.313568, 
0.227536, 0.0471191, 
0.133516, 0.339569, 
0.310888, 0.0312805, 
0.0463474, 0.271576, 
0.340919, 0.0829163, 
0.0297756, 0.374908, 
0.269321, 0.0174561, 
0.0810835, 0.179108, 
0.38211, 0.2229, 
0.0153839, 0.145874, 
0.16604, 0.285583, 
0.244286, 0.0699768, 
0.110187, 0.376312, 
0.352906, 0.0163574, 
0.0247292, 0.17099, 
0.238044, 0.234161, 
0.118512, 0.129364, 
0.339081, 0.320618, 
0.0306216, 0.04422, 
0.274089, 0.332489, 
0.0762844, 0.0328979, 
0.382682, 0.28299, 
0.0152365, 0.0724792, 
0.164745, 0.381714, 
0.246936, 0.0159607, 
0.106785, 0.170563, 
0.358035, 0.235229, 
0.0228038, 0.127747, 
0.224766, 0.317932, 
0.137678, 0.0458069, 
0.30258, 0.333099, 
0.0520852, 0.0357971, 
0.35636, 0.289368, 
0.0234178, 0.0668335, 
0.229084, 0.371063, 
0.131227, 0.0187988, 
0.315387, 0.192841, 
0.043464, 0.19455, 
0.331504, 0.190186, 
0.0343256, 0.198486, 
0.293447, 0.182281, 
0.0590486, 0.219269, 
0.369793, 0.151184, 
0.0188668, 0.275055, 
0.195154, 0.0788574, 
0.187446, 0.373138, 
0.201858, 0.0197754, 
0.175368, 0.200684, 
0.225433, 0.180878, 
0.136668, 0.217285, 
0.304609, 0.15448, 
0.050633, 0.268494, 
0.352847, 0.0850525, 
0.0247522, 0.375946, 
0.238197, 0.0176697, 
0.118302, 0.184021, 
0.339449, 0.2117, 
0.0304506, 0.164032, 
0.273136, 0.249359, 
0.0772255, 0.108795, 
0.382694, 0.350494, 
0.0152337, 0.0256348, 
0.16472, 0.241943, 
0.246987, 0.117798, 
0.10672, 0.344025, 
0.35813, 0.0292053, 
0.0227692, 0.26059, 
0.224521, 0.0961304, 
0.138051, 0.368988, 
0.301829, 0.0190125, 
0.0526317, 0.195068, 
0.357616, 0.193665, 
0.022956, 0.19458, 
0.225844, 0.193146, 
0.136048, 0.191132, 
0.305852, 0.200073, 
0.0497601, 0.178497, 
0.350609, 0.215271, 
0.0256353, 0.154419, 
0.244028, 0.268036, 
0.110522, 0.0840454, 
0.352382, 0.376556, 
0.0249334, 0.0165405, 
0.239407, 0.174835, 
0.116657, 0.229736, 
0.3423, 0.13797, 
0.0291529, 0.305542, 
0.265727, 0.0519714, 
0.0848537, 0.35257, 
0.380628, 0.0245972, 
0.0157712, 0.235352, 
0.169419, 0.12738, 
0.237406, 0.319275, 
0.119387, 0.0448914, 
0.337537, 0.328308, 
0.0313475, 0.0372009, 
0.278075, 0.304871, 
0.0724449, 0.0528564, 
0.381969, 0.354218, 
0.0154204, 0.0236206, 
0.16636, 0.230774, 
0.243632, 0.136261, 
0.11104, 0.303619, 
0.351569, 0.0518188, 
0.0252534, 0.350311, 
0.241526, 0.0257568, 
0.113814, 0.243042, 
0.347087, 0.116028, 
0.0270797, 0.339081, 
0.25323, 0.0323792, 
0.0990154, 0.278442, 
0.368345, 0.0733032, 
0.0193179, 0.378784, 
0.19872, 0.0153503, 
0.180966, 0.159088, 
0.21437, 0.260834, 
0.154072, 0.0949707, 
0.268948, 0.365875, 
0.0814689, 0.0222778, 
0.381998, 0.215546, 
0.0154127, 0.157379, 
0.166293, 0.264557, 
0.243769, 0.0896912, 
0.11086, 0.37262, 
0.351852, 0.0188904, 
0.0251415, 0.192871, 
0.240787, 0.196991, 
0.114799, 0.188324, 
0.345449, 0.203094, 
0.0277745, 0.174957, 
0.25751, 0.225739, 
0.0939778, 0.138336, 
0.373796, 0.29834, 
0.0176672, 0.0597839, 
0.185445, 0.367523, 
0.205686, 0.0205688, 
0.168677, 0.206696, 
0.238911, 0.170044, 
0.117329, 0.233612, 
0.341142, 0.126434, 
0.0296744, 0.325378, 
0.268742, 0.0393982, 
0.0816823, 0.311707, 
0.381933, 0.0470886, 
0.0154298, 0.336212, 
0.166442, 0.0324707, 
0.243464, 0.27832, 
0.111258, 0.0730591, 
0.351223, 0.378967, 
0.0253906, 0.0168762, 
0.242428, 0.179291, 
0.112619, 0.220154, 
0.349041, 0.14679, 
0.0262701, 0.283752, 
0.248123, 0.0696106, 
0.105286, 0.37558, 
0.360184, 0.0176086, 
0.0220357, 0.184631, 
0.219253, 0.214417, 
0.146221, 0.155487, 
0.285166, 0.263, 
0.0659941, 0.0932922, 
0.378132, 0.369751, 
0.0164423, 0.0192871, 
0.175188, 0.195923, 
0.225792, 0.18692, 
0.136127, 0.205017, 
0.305693, 0.173553, 
0.0498707, 0.230316, 
0.350898, 0.131226, 
0.0255198, 0.314392, 
0.243275, 0.0457153, 
0.111506, 0.333801, 
0.350829, 0.0350952, 
0.0255476, 0.289978, 
0.243457, 0.0667725, 
0.111268, 0.380737, 
0.351207, 0.0161743, 
0.0253969, 0.171936, 
0.24247, 0.232391, 
0.112564, 0.13028, 
0.34913, 0.318573, 
0.0262337, 0.0453796, 
0.247891, 0.335541, 
0.105579, 0.0314331, 
0.35977, 0.272766, 
0.0221818, 0.0788269, 
0.220312, 0.373505, 
0.144555, 0.0172119, 
0.288591, 0.179688, 
0.063046, 0.218872, 
0.375163, 0.153198, 
0.0172728, 0.271423, 
0.182181, 0.0814819, 
0.211999, 0.379425, 
0.157978, 0.0172729, 
0.260867, 0.178314, 
0.0901637, 0.222656, 
0.377167, 0.144196, 
0.0167083, 0.287445, 
0.177445, 0.067749, 
0.221302, 0.374573, 
0.143007, 0.0175781, 
0.291761, 0.182281, 
0.0604131, 0.21347, 
0.371807, 0.155762, 
0.0182547, 0.268433, 
0.190241, 0.0836182, 
0.196569, 0.376892, 
0.184859, 0.0164795, 
0.206812, 0.174835, 
0.166737, 0.226593, 
0.242864, 0.136383, 
0.112046, 0.305084, 
0.349966, 0.0522766, 
0.0258942, 0.352997, 
0.245708, 0.0256958, 
0.108352, 0.235229, 
0.355715, 0.125397, 
0.0236582, 0.322479, 
0.230753, 0.040863, 
0.12879, 0.31781, 
0.320111, 0.0440979, 
0.0405976, 0.323364, 
0.320962, 0.0417786, 
0.0400985, 0.32074, 
0.319, 0.0411682, 
0.0412569, 0.315765, 
0.323494, 0.0455627, 
0.0386426, 0.333008, 
0.31306, 0.0352478, 
0.0449359, 0.292358, 
0.336455, 0.0613403, 
0.031865, 0.366791, 
0.280859, 0.0205383, 
0.0698556, 0.205383, 
0.380846, 0.173523, 
0.0157137, 0.232422, 
0.168919, 0.132141, 
0.238419, 0.31424, 
0.117999, 0.0480042, 
0.339978, 0.337677, 
0.0302062, 0.0308533, 
0.271764, 0.271118, 
0.0785961, 0.0840149, 
0.3826, 0.372131, 
0.0152577, 0.0198364, 
0.164931, 0.202728, 
0.246555, 0.179657, 
0.10727, 0.220612, 
0.357325, 0.150604, 
0.0230623, 0.274719, 
0.226594, 0.0769348, 
0.134922, 0.377625, 
0.308099, 0.0163269, 
0.0482127, 0.176758, 
0.346405, 0.22226, 
0.0273675, 0.143707, 
0.255014, 0.286499, 
0.0968916, 0.0634155, 
0.370773, 0.367401, 
0.0185669, 0.0197144, 
0.192758, 0.200836, 
0.191868, 0.183929, 
0.193523, 0.212494, 
0.190449, 0.159302, 
0.19618, 0.259644, 
0.185569, 0.0966797, 
0.205448, 0.368622, 
0.169088, 0.0194397, 
0.238077, 0.200378, 
0.118466, 0.180542, 
0.33916, 0.216919, 
0.0305845, 0.151672, 
0.273883, 0.273224, 
0.0764874, 0.078186, 
0.38269, 0.374603, 
0.0152346, 0.0160522, 
0.164728, 0.167786, 
0.246971, 0.242126, 
0.10674, 0.115143, 
0.3581, 0.340546, 
0.02278, 0.0293579, 
0.224597, 0.261108, 
0.137935, 0.0933228, 
0.302063, 0.36731, 
0.052461, 0.0193176, 
0.357228, 0.194427, 
0.023098, 0.193115, 
0.226846, 0.194305, 
0.134545, 0.192139, 
0.308847, 0.197021, 
0.0477063, 0.189423, 
0.344961, 0.200287, 
0.0279846, 0.179626, 
0.258786, 0.21701, 
0.0925141, 0.151215, 
0.375172, 0.276154, 
0.0172704, 0.0769348, 
0.182161, 0.37851, 
0.212038, 0.0153198, 
0.157913, 0.161285, 
0.261002, 0.256073, 
0.0900132, 0.0982361, 
0.377286, 0.364868, 
0.0166755, 0.0196228, 
0.177167, 0.198914, 
0.221853, 0.188354, 
0.14215, 0.199188, 
0.293512, 0.181061, 
0.0589969, 0.216797, 
0.369713, 0.154877, 
0.0188915, 0.266632, 
0.19535, 0.0842896, 
0.187086, 0.369751, 
0.202545, 0.01828, 
0.174157, 0.188354, 
0.227853, 0.202881, 
0.133045, 0.177765, 
0.311817, 0.222076, 
0.0457395, 0.147888, 
0.33903, 0.284943, 
0.0306452, 0.0690002, 
0.27422, 0.379089, 
0.0761558, 0.0147095, 
0.382676, 0.158905, 
0.0152382, 0.256714, 
0.16476, 0.100464, 
0.246906, 0.360168, 
0.106823, 0.0231628, 
0.35798, 0.225372, 
0.0228236, 0.142151, 
0.224907, 0.290375, 
0.137465, 0.0639038, 
0.30301, 0.366913, 
0.0517748, 0.0186157, 
0.355631, 0.191803, 
0.0236896, 0.197662, 
0.23097, 0.184326, 
0.128474, 0.206238, 
0.320717, 0.170135, 
0.0402415, 0.240845, 
0.319567, 0.11911, 
0.0409197, 0.333221, 
0.322207, 0.0357971, 
0.0393768, 0.294098, 
0.316097, 0.0619507, 
0.0430225, 0.369415, 
0.329959, 0.0180969, 
0.0351253, 0.187897, 
0.297314, 0.204742, 
0.0560141, 0.170044, 
0.364608, 0.238434, 
0.0205242, 0.124817, 
0.208034, 0.326141, 
0.164647, 0.0395813, 
0.247136, 0.309662, 
0.106532, 0.0527039, 
0.358404, 0.353058, 
0.0226704, 0.0250244, 
0.223818, 0.235565, 
0.139124, 0.124756, 
0.299663, 0.324188, 
0.0542326, 0.0410767, 
0.36109, 0.319885, 
0.0217186, 0.0427856, 
0.216941, 0.325867, 
0.149906, 0.0376587, 
0.277565, 0.302979, 
0.0729275, 0.0532532, 
0.382119, 0.350708, 
0.0153815, 0.0258484, 
0.166019, 0.242706, 
0.24433, 0.11731, 
0.110131, 0.336853, 
0.352994, 0.0330505, 
0.0246953, 0.279999, 
0.237816, 0.0743713, 
0.118824, 0.377472, 
0.338532, 0.016449, 
0.0308778, 0.17215, 
0.275507, 0.233368, 
0.0749011, 0.129608, 
0.382551, 0.315399, 
0.0152702, 0.0452881, 
0.165041, 0.330811, 
0.246329, 0.035614, 
0.107558, 0.291962, 
0.3569, 0.0621948, 
0.0232183, 0.362915, 
0.22769, 0.0220642, 
0.133287, 0.216858, 
0.311339, 0.153198, 
0.0460511, 0.26886, 
0.340005, 0.0840149, 
0.0301939, 0.375, 
0.271695, 0.0170593, 
0.0786656, 0.177551, 
0.382592, 0.225159, 
0.0152598, 0.14267, 
0.16495, 0.29306, 
0.246517, 0.0629272, 
0.107318, 0.366028, 
0.357254, 0.0200195, 
0.0230882, 0.204956, 
0.226776, 0.173828, 
0.134649, 0.226959, 
0.308642, 0.138092, 
0.0478449, 0.303101, 
0.34536, 0.0551453, 
0.0278131, 0.360504, 
0.257745, 0.0215759, 
0.0937073, 0.213562, 
0.374058, 0.160736, 
0.0175911, 0.258972, 
0.184818, 0.0982971, 
0.206891, 0.366974, 
0.166601, 0.019928, 
0.24314, 0.200562, 
0.111683, 0.18277, 
0.350547, 0.212769, 
0.0256602, 0.164154, 
0.24419, 0.246613, 
0.110312, 0.110229, 
0.352712, 0.347107, 
0.0248048, 0.0257568, 
0.238549, 0.240326, 
0.117821, 0.121979, 
0.340288, 0.328003, 
0.0300637, 0.0383606, 
0.270959, 0.309418, 
0.0794086, 0.0498962, 
0.382485, 0.340759, 
0.0152873, 0.0323181, 
0.165192, 0.277069, 
0.246021, 0.078186, 
0.107952, 0.375885, 
0.356315, 0.016449, 
0.0234348, 0.172302, 
0.229203, 0.23465, 
0.131053, 0.128723, 
0.315726, 0.319458, 
0.0432525, 0.0411682, 
0.330767, 0.317657, 
0.0347049, 0.0445557, 
0.295295, 0.33136, 
0.0575825, 0.0349426, 
0.367413, 0.289978, 
0.019613, 0.0663147, 
0.201029, 0.375244, 
0.176838, 0.0176697, 
0.222506, 0.182495, 
0.141139, 0.2146, 
0.295573, 0.15799, 
0.0573643, 0.260071, 
0.367039, 0.095459, 
0.0197325, 0.367279, 
0.201958, 0.0211487, 
0.175192, 0.210724, 
0.225784, 0.164154, 
0.136139, 0.247986, 
0.305669, 0.108215, 
0.0498878, 0.350128, 
0.350943, 0.0270691, 
0.0255021, 0.246948, 
0.243159, 0.110077, 
0.111658, 0.344452, 
0.350586, 0.0303345, 
0.0256446, 0.266113, 
0.244089, 0.0918274, 
0.110443, 0.364502, 
0.352506, 0.0216064, 
0.0248851, 0.216217, 
0.239085, 0.155884, 
0.117092, 0.264465, 
0.341551, 0.0866699, 
0.0294895, 0.378571, 
0.267679, 0.0171814, 
0.0827899, 0.180054, 
0.381546, 0.221497, 
0.0155303, 0.144897, 
0.167322, 0.289795, 
0.24167, 0.0646667, 
0.113623, 0.368134, 
0.347402, 0.0183716, 
0.026948, 0.187805, 
0.252407, 0.205292, 
0.100006, 0.175201, 
0.367151, 0.22876, 
0.0196964, 0.131989, 
0.201678, 0.31015, 
0.175687, 0.0477905, 
0.224795, 0.339539, 
0.137634, 0.0306702, 
0.302668, 0.268341, 
0.0520214, 0.0881348, 
0.356211, 0.374268, 
0.0234731, 0.018158, 
0.229469, 0.18692, 
0.130662, 0.20813, 
0.316488, 0.170197, 
0.0427811, 0.23764, 
0.329102, 0.120453, 
0.0355756, 0.334991, 
0.299443, 0.0341187, 
0.0543977, 0.288086, 
0.361432, 0.0645142, 
0.0216003, 0.368164, 
0.216072, 0.0203552, 
0.151306, 0.202576, 
0.274671, 0.178253, 
0.0757142, 0.21817, 
0.382645, 0.153503, 
0.0152461, 0.269257, 
0.164829, 0.0847778, 
0.246763, 0.374207, 
0.107005, 0.0171814, 
0.357714, 0.180359, 
0.0229201, 0.217743, 
0.225591, 0.155212, 
0.13643, 0.269043, 
