Trial: 1 estimated 5, Trial: 1 actual 5, 
0.15625, 0.501709, 
0.395954, 0.154358, 
0.263569, 0.371155, 
0.387608, 0.293274, 
0.272572, 0.358887, 
0.381603, 0.300598, 
0.279031, 0.347778, 
0.376955, 0.305359, 
0.284013, 0.344421, 
0.373189, 0.313416, 
0.288035, 0.340271, 
0.370041, 0.315125, 
0.291386, 0.334961, 
0.367348, 0.322144, 
0.294244, 0.331848, 
0.365003, 0.321411, 
0.296725, 0.322144, 
0.362932, 0.331299, 
0.298909, 0.325439, 
0.361083, 0.32489, 
0.300853, 0.331909, 
0.359416, 0.325439, 
0.302601, 0.328735, 
0.357903, 0.328674, 
0.304185, 0.327942, 
0.356519, 0.324768, 
0.30563, 0.330383, 
0.355247, 0.32428, 
0.306955, 0.335754, 
0.354071, 0.310364, 
0.308176, 0.34375, 
0.352981, 0.310974, 
0.309307, 0.33844, 
0.351965, 0.318848, 
0.310358, 0.339722, 
0.351017, 0.315369, 
0.311338, 0.340088, 
0.350128, 0.324097, 
0.312254, 0.325867, 
0.349293, 0.329102, 
0.313113, 0.327209, 
0.348508, 0.320496, 
0.313921, 0.336121, 
0.347766, 0.323059, 
0.314681, 0.331482, 
0.347066, 0.320679, 
0.315399, 0.333008, 
0.346402, 0.327209, 
0.316077, 0.329529, 
0.345774, 0.324768, 
0.316719, 0.32312, 
0.345177, 0.336243, 
0.317328, 0.313965, 
0.344609, 0.336426, 
0.317905, 0.315186, 
0.34407, 0.330139, 
0.318454, 0.329834, 
0.343556, 0.325745, 
0.318977, 0.327698, 
0.343065, 0.327454, 
0.319474, 0.324768, 
0.342598, 0.331604, 
0.319948, 0.321838, 
0.342151, 0.333496, 
0.3204, 0.317139, 
0.341724, 0.333496, 
0.320832, 0.323547, 
0.341316, 0.332581, 
0.321244, 0.32251, 
0.340926, 0.329895, 
0.321638, 0.321411, 
0.340552, 0.337769, 
0.322014, 0.325562, 
0.340194, 0.33075, 
0.322375, 0.317261, 
0.339852, 0.336853, 
